algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
directional_mergesort,random,1000000,4,count,0,93230266,19084795,4000000,0,18789658,1,96,0,2048,directional-2608
directional_mergesort,random,1000000,5,count,0,103189547,19084172,4000000,0,18788760,1,96,0,2048,directional-2608
directional_mergesort,random,1000000,6,count,0,94279366,19084358,4000000,0,18788528,1,96,0,2048,directional-2608
directional_mergesort,runs1024,1000000,4,count,0,51807486,12414754,4000000,0,11893542,1,96,0,2048,directional-2608
directional_mergesort,runs1024,1000000,5,count,0,54488072,12414741,4000000,0,11893542,1,96,0,2048,directional-2608
directional_mergesort,runs1024,1000000,6,count,0,52883366,12414733,4000000,0,11893542,1,96,0,2048,directional-2608
directional_mergesort,nearly1,1000000,4,count,0,38905696,14640779,4000000,0,14590117,1,96,0,2048,directional-2608
directional_mergesort,nearly1,1000000,5,count,0,39218390,14615630,4000000,0,14569838,1,96,0,2048,directional-2608
directional_mergesort,nearly1,1000000,6,count,0,38910219,14628381,4000000,0,14582945,1,96,0,2048,directional-2608
directional_mergesort,reversed,1000000,4,count,0,6171266,999999,4000000,0,0,1,96,0,2048,directional-2608
directional_mergesort,reversed,1000000,5,count,0,4917958,999999,4000000,0,0,1,96,0,2048,directional-2608
directional_mergesort,reversed,1000000,6,count,0,5305347,999999,4000000,0,0,1,96,0,2048,directional-2608
directional_mergesort,sorted,1000000,4,count,0,4410292,999999,4000000,0,0,1,96,0,2048,directional-2608
directional_mergesort,sorted,1000000,5,count,0,4858050,999999,4000000,0,0,1,96,0,2048,directional-2608
directional_mergesort,sorted,1000000,6,count,0,3709445,999999,4000000,0,0,1,96,0,2048,directional-2608
merge_td,random,1000000,4,count,0,81295681,18693916,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,random,1000000,5,count,0,80440186,18693023,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,random,1000000,6,count,0,85122565,18693526,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,runs1024,1000000,4,count,0,47856963,13764130,4000000,0,11870362,1,96,0,2048,directional-2608
merge_td,runs1024,1000000,5,count,0,51552187,13764148,4000000,0,11870362,1,96,0,2048,directional-2608
merge_td,runs1024,1000000,6,count,0,50790455,13764013,4000000,0,11870362,1,96,0,2048,directional-2608
merge_td,nearly1,1000000,4,count,0,33930592,16088747,4000000,0,14336726,1,96,0,2048,directional-2608
merge_td,nearly1,1000000,5,count,0,37328007,16056208,4000000,0,14316593,1,96,0,2048,directional-2608
merge_td,nearly1,1000000,6,count,0,38234573,16073135,4000000,0,14329315,1,96,0,2048,directional-2608
merge_td,reversed,1000000,4,count,0,30323372,11100351,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,reversed,1000000,5,count,0,30354659,11100351,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,reversed,1000000,6,count,0,35361151,11100351,4000000,0,16000000,1,96,0,2048,directional-2608
merge_td,sorted,1000000,4,count,0,6466552,2361599,4000000,0,0,1,96,0,2048,directional-2608
merge_td,sorted,1000000,5,count,0,6159655,2361599,4000000,0,0,1,96,0,2048,directional-2608
merge_td,sorted,1000000,6,count,0,4916446,2361599,4000000,0,0,1,96,0,2048,directional-2608
powersort,random,1000000,4,count,0,97101259,18599663,4002304,0,13967323,1,96,0,2048,directional-2608
powersort,random,1000000,5,count,0,93234879,18598796,4002272,0,13967761,1,96,0,2048,directional-2608
powersort,random,1000000,6,count,0,93614782,18598906,4002296,0,13967707,1,96,0,2048,directional-2608
powersort,runs1024,1000000,4,count,0,45940002,10950186,4000000,0,9949896,1,96,0,2048,directional-2608
powersort,runs1024,1000000,5,count,0,52138287,10950193,3999984,0,9949857,1,96,0,2048,directional-2608
powersort,runs1024,1000000,6,count,0,50987771,10950124,4000000,0,9949807,1,96,0,2048,directional-2608
powersort,nearly1,1000000,4,count,0,15577226,3132508,3998984,0,12586706,1,96,0,2048,directional-2608
powersort,nearly1,1000000,5,count,0,14704399,3140841,3999184,0,12565649,1,96,0,2048,directional-2608
powersort,nearly1,1000000,6,count,0,14302864,3135169,3999296,0,12579216,1,96,0,2048,directional-2608
powersort,reversed,1000000,4,count,0,2139143,999999,2304,0,0,1,96,0,2048,directional-2608
powersort,reversed,1000000,5,count,0,5256357,999999,2304,0,0,1,96,0,2048,directional-2608
powersort,reversed,1000000,6,count,0,2741359,999999,2304,0,0,1,96,0,2048,directional-2608
powersort,sorted,1000000,4,count,0,3451610,999999,2304,0,0,1,96,0,2048,directional-2608
powersort,sorted,1000000,5,count,0,2191988,999999,2304,0,0,1,96,0,2048,directional-2608
powersort,sorted,1000000,6,count,0,897348,999999,2304,0,0,1,96,0,2048,directional-2608
