algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,disp4,1000000,1,count,0,18886960,4872824,2400,0,116403,1,96,0,2048,1c32397
powersort,disp4,1000000,2,count,0,18460229,4873875,2384,0,115909,1,96,0,2048,1c32397
powersort,disp4,1000000,3,count,0,19002918,4872386,2400,0,115942,1,96,0,2048,1c32397
powersort,disp8,1000000,1,count,0,24139061,5109669,2480,0,305758,1,96,0,2048,1c32397
powersort,disp8,1000000,2,count,0,24991846,5109203,2480,0,305216,1,96,0,2048,1c32397
powersort,disp8,1000000,3,count,0,24575772,5109186,2488,0,305851,1,96,0,2048,1c32397
powersort,disp16,1000000,1,count,0,30410469,5542429,2680,0,753865,1,96,0,2048,1c32397
powersort,disp16,1000000,2,count,0,30020624,5542062,2720,0,755127,1,96,0,2048,1c32397
powersort,disp16,1000000,3,count,0,30978352,5543751,2688,0,755728,1,96,0,2048,1c32397
powersort,disp32,1000000,1,count,0,35235409,6335074,3096,0,1611729,1,96,0,2048,1c32397
powersort,disp32,1000000,2,count,0,35580751,6339927,3120,0,1612854,1,96,0,2048,1c32397
powersort,disp32,1000000,3,count,0,35741587,6341058,3088,0,1616721,1,96,0,2048,1c32397
powersort,disp64,1000000,1,count,0,40054452,7374036,4016,0,2719580,1,96,0,2048,1c32397
powersort,disp64,1000000,2,count,0,40746405,7377884,3928,0,2719609,1,96,0,2048,1c32397
powersort,disp64,1000000,3,count,0,40268574,7378995,3904,0,2722131,1,96,0,2048,1c32397
powersort,disp128,1000000,1,count,0,44392290,8396724,5664,0,3891635,1,96,0,2048,1c32397
powersort,disp128,1000000,2,count,0,45294866,8405587,6144,0,3896153,1,96,0,2048,1c32397
powersort,disp128,1000000,3,count,0,44370419,8395974,5680,0,3898647,1,96,0,2048,1c32397
powersort,disp256,1000000,1,count,0,49037997,9367250,8776,0,5068499,1,96,0,2048,1c32397
powersort,disp256,1000000,2,count,0,49320897,9374316,9144,0,5075065,1,96,0,2048,1c32397
powersort,disp256,1000000,3,count,0,49134836,9369089,9488,0,5075769,1,96,0,2048,1c32397
powersort,disp512,1000000,1,count,0,54275259,10352143,15880,0,6228907,1,96,0,2048,1c32397
powersort,disp512,1000000,2,count,0,53022347,10352769,16864,0,6228240,1,96,0,2048,1c32397
powersort,disp512,1000000,3,count,0,53042433,10354725,16336,0,6234245,1,96,0,2048,1c32397
powersort,disp1024,1000000,1,count,0,58631556,11339790,30352,0,7359869,1,96,0,2048,1c32397
powersort,disp1024,1000000,2,count,0,57628741,11340093,31608,0,7366479,1,96,0,2048,1c32397
powersort,disp1024,1000000,3,count,0,57435539,11340419,30184,0,7355452,1,96,0,2048,1c32397
powersort,disp2048,1000000,1,count,0,61377323,12332340,63992,0,8478478,1,96,0,2048,1c32397
powersort,disp2048,1000000,2,count,0,61866494,12330939,58416,0,8479718,1,96,0,2048,1c32397
powersort,disp2048,1000000,3,count,0,61479255,12331960,62232,0,8467860,1,96,0,2048,1c32397
powersort,disp4096,1000000,1,count,0,64301585,13321090,115880,0,9550951,1,96,0,2048,1c32397
powersort,disp4096,1000000,2,count,0,64482905,13326623,119008,0,9556859,1,96,0,2048,1c32397
powersort,disp4096,1000000,3,count,0,67082618,13331569,117552,0,9573844,1,96,0,2048,1c32397
powersort_fixed,disp4,1000000,1,count,0,18852923,4884333,2392,0,114264,1,96,0,2048,1c32397
powersort_fixed,disp4,1000000,2,count,0,19713753,4887129,2400,0,115158,1,96,0,2048,1c32397
powersort_fixed,disp4,1000000,3,count,0,20246225,4886426,2392,0,115167,1,96,0,2048,1c32397
powersort_fixed,disp8,1000000,1,count,0,25251164,5121808,2472,0,300153,1,96,0,2048,1c32397
powersort_fixed,disp8,1000000,2,count,0,25482282,5122134,2488,0,300287,1,96,0,2048,1c32397
powersort_fixed,disp8,1000000,3,count,0,25558849,5121953,2480,0,300868,1,96,0,2048,1c32397
powersort_fixed,disp16,1000000,1,count,0,30496088,5549026,2680,0,740981,1,96,0,2048,1c32397
powersort_fixed,disp16,1000000,2,count,0,30642189,5549747,2664,0,742274,1,96,0,2048,1c32397
powersort_fixed,disp16,1000000,3,count,0,30015482,5549691,2680,0,742065,1,96,0,2048,1c32397
powersort_fixed,disp32,1000000,1,count,0,34540514,6337285,3104,0,1593932,1,96,0,2048,1c32397
