algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,dup2,1000000,1,count,0,32957016,5034097,2000136,0,7002274,1,96,0,2048,498b627
powersort,dup2,1000000,2,count,0,31375974,5033168,2000304,0,7002628,1,96,0,2048,498b627
powersort,dup2,1000000,3,count,0,34664952,5033308,1999464,0,6998572,1,96,0,2048,498b627
powersort,dup4,1000000,1,count,0,34991808,5685571,3000680,0,10506011,1,96,0,2048,498b627
powersort,dup4,1000000,2,count,0,36014944,5685421,3002152,0,10506215,1,96,0,2048,498b627
powersort,dup4,1000000,3,count,0,39886809,5685184,2998400,0,10495573,1,96,0,2048,498b627
powersort,dup8,1000000,1,count,0,56892534,6667296,3502312,0,12255367,1,96,0,2048,498b627
powersort,dup8,1000000,2,count,0,72770991,6668383,3500664,0,12252055,1,96,0,2048,498b627
powersort,dup8,1000000,3,count,0,78751004,6666972,3498536,0,12242962,1,96,0,2048,498b627
powersort,dup16,1000000,1,count,0,55845781,7839039,3751624,0,13125196,1,96,0,2048,498b627
powersort,dup16,1000000,2,count,0,62350227,7838175,3749176,0,13125581,1,96,0,2048,498b627
powersort,dup16,1000000,3,count,0,79148523,7838899,3749768,0,13119176,1,96,0,2048,498b627
powersort,dup32,1000000,1,count,0,99895230,8898817,3876224,0,13556600,1,96,0,2048,498b627
powersort,dup32,1000000,2,count,0,95344959,8900241,3876336,0,13558803,1,96,0,2048,498b627
powersort,dup32,1000000,3,count,0,65528166,8899997,3876248,0,13555242,1,96,0,2048,498b627
powersort,dup64,1000000,1,count,0,108966131,9926042,3939712,0,13769329,1,96,0,2048,498b627
powersort,dup64,1000000,2,count,0,102049350,9925849,3938816,0,13770122,1,96,0,2048,498b627
powersort,dup64,1000000,3,count,0,93947862,9925715,3939112,0,13767451,1,96,0,2048,498b627
powersort,dup128,1000000,1,count,0,90490332,10939459,3971120,0,13871862,1,96,0,2048,498b627
powersort,dup128,1000000,2,count,0,96003777,10939190,3970640,0,13872746,1,96,0,2048,498b627
powersort,dup128,1000000,3,count,0,99531611,10936748,3971088,0,13871714,1,96,0,2048,498b627
powersort,dup256,1000000,1,count,0,80118396,11938097,3986520,0,13921014,1,96,0,2048,498b627
powersort,dup256,1000000,2,count,0,107351969,11943190,3986360,0,13922045,1,96,0,2048,498b627
powersort,dup256,1000000,3,count,0,103309010,11943485,3986568,0,13921056,1,96,0,2048,498b627
powersort,dup512,1000000,1,count,0,91925428,12937559,3994512,0,13945533,1,96,0,2048,498b627
powersort,dup512,1000000,2,count,0,107129108,12936846,3994424,0,13945359,1,96,0,2048,498b627
powersort,dup512,1000000,3,count,0,107444266,12941259,3994536,0,13945551,1,96,0,2048,498b627
powersort,dup1024,1000000,1,count,0,116819739,13918644,3998216,0,13956897,1,96,0,2048,498b627
powersort,dup1024,1000000,2,count,0,119189181,13926316,3998176,0,13956716,1,96,0,2048,498b627
powersort,dup1024,1000000,3,count,0,111975780,13922557,3998320,0,13957183,1,96,0,2048,498b627
powersort_fj,dup2,1000000,1,count,0,35754379,4979472,2000136,6204,7002274,1,96,0,2048,498b627
powersort_fj,dup2,1000000,2,count,0,36638981,4977699,2000304,6204,7002628,1,96,0,2048,498b627
powersort_fj,dup2,1000000,3,count,0,47471343,4978734,1999464,6204,6998572,1,96,0,2048,498b627
powersort_fj,dup4,1000000,1,count,0,69828080,5643699,3000680,6204,10506011,1,96,0,2048,498b627
powersort_fj,dup4,1000000,2,count,0,57628381,5643658,3002152,6204,10506215,1,96,0,2048,498b627
powersort_fj,dup4,1000000,3,count,0,68072681,5643601,2998400,6204,10495573,1,96,0,2048,498b627
powersort_fj,dup8,1000000,1,count,0,67307383,6633260,3502312,6204,12255367,1,96,0,2048,498b627
powersort_fj,dup8,1000000,2,count,0,64018412,6634469,3500664,6204,12252055,1,96,0,2048,498b627
powersort_fj,dup8,1000000,3,count,0,62228689,6633681,3498536,6204,12242962,1,96,0,2048,498b627
powersort_fj,dup16,1000000,1,count,0,84339465,7812320,3751624,6204,13125196,1,96,0,2048,498b627
powersort_fj,dup16,1000000,2,count,0,76116081,7811884,3749176,6204,13125581,1,96,0,2048,498b627
powersort_fj,dup16,1000000,3,count,0,82540021,7811523,3749768,6204,13119176,1,96,0,2048,498b627
