algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,dup6,1000000,4,count,0,42503124,6255049,3336424,0,11666757,1,96,0,2048,498b627
powersort,dup6,1000000,5,count,0,64782181,6256332,3334248,0,11662620,1,96,0,2048,498b627
powersort,dup6,1000000,6,count,0,70270249,6254967,3336328,0,11668418,1,96,0,2048,498b627
powersort,dup12,1000000,4,count,0,55244529,7385558,3665304,0,12831321,1,96,0,2048,498b627
powersort,dup12,1000000,5,count,0,81371576,7385822,3667888,0,12831637,1,96,0,2048,498b627
powersort,dup12,1000000,6,count,0,78500462,7385866,3669296,0,12837174,1,96,0,2048,498b627
powersort,dup24,1000000,4,count,0,61795953,8454224,3834552,0,13413026,1,96,0,2048,498b627
powersort,dup24,1000000,5,count,0,61946234,8453852,3835320,0,13413131,1,96,0,2048,498b627
powersort,dup24,1000000,6,count,0,75807663,8455324,3835224,0,13415415,1,96,0,2048,498b627
powersort,dup48,1000000,4,count,0,70212713,9484739,3918808,0,13699487,1,96,0,2048,498b627
powersort,dup48,1000000,5,count,0,94071195,9481465,3919728,0,13700310,1,96,0,2048,498b627
powersort,dup48,1000000,6,count,0,80416778,9478703,3919088,0,13701322,1,96,0,2048,498b627
powersort,dup96,1000000,4,count,0,60313708,10488196,3960416,0,13837252,1,96,0,2048,498b627
powersort,dup96,1000000,5,count,0,82597818,10490467,3960904,0,13838876,1,96,0,2048,498b627
powersort,dup96,1000000,6,count,0,84466398,10491579,3960416,0,13839443,1,96,0,2048,498b627
powersort,dup192,1000000,4,count,0,96030902,11492730,3981696,0,13905531,1,96,0,2048,498b627
powersort,dup192,1000000,5,count,0,81263866,11489219,3981624,0,13906108,1,96,0,2048,498b627
powersort,dup192,1000000,6,count,0,97341028,11487754,3981296,0,13905574,1,96,0,2048,498b627
powersort,dup384,1000000,4,count,0,96803615,12479470,3992144,0,13938306,1,96,0,2048,498b627
powersort,dup384,1000000,5,count,0,67735103,12485540,3991888,0,13937921,1,96,0,2048,498b627
powersort,dup384,1000000,6,count,0,99757377,12481048,3991688,0,13938047,1,96,0,2048,498b627
powersort,dup768,1000000,4,count,0,75966871,13456913,3997208,0,13953670,1,96,0,2048,498b627
powersort,dup768,1000000,5,count,0,77235956,13467298,3997072,0,13953297,1,96,0,2048,498b627
powersort,dup768,1000000,6,count,0,93693674,13470215,3997016,0,13953336,1,96,0,2048,498b627
powersort_fj,dup6,1000000,4,count,0,79722645,6216591,3336424,6204,11666757,1,96,0,2048,498b627
powersort_fj,dup6,1000000,5,count,0,52549517,6217553,3334248,6204,11662620,1,96,0,2048,498b627
powersort_fj,dup6,1000000,6,count,0,54305826,6215975,3336328,6204,11668418,1,96,0,2048,498b627
powersort_fj,dup12,1000000,4,count,0,58777046,7355664,3665304,6204,12831321,1,96,0,2048,498b627
powersort_fj,dup12,1000000,5,count,0,80299256,7355956,3667888,6204,12831637,1,96,0,2048,498b627
powersort_fj,dup12,1000000,6,count,0,79817510,7356788,3669296,6204,12837174,1,96,0,2048,498b627
powersort_fj,dup24,1000000,4,count,0,85015393,8429406,3834552,6204,13413026,1,96,0,2048,498b627
powersort_fj,dup24,1000000,5,count,0,88560944,8429504,3835320,6204,13413131,1,96,0,2048,498b627
powersort_fj,dup24,1000000,6,count,0,85523606,8430756,3835224,6204,13415415,1,96,0,2048,498b627
powersort_fj,dup48,1000000,4,count,0,77561267,9462411,3918808,6204,13699487,1,96,0,2048,498b627
powersort_fj,dup48,1000000,5,count,0,93508297,9459720,3919728,6204,13700310,1,96,0,2048,498b627
powersort_fj,dup48,1000000,6,count,0,73107057,9455975,3919088,6204,13701322,1,96,0,2048,498b627
powersort_fj,dup96,1000000,4,count,0,77051286,10467084,3960416,6204,13837252,1,96,0,2048,498b627
powersort_fj,dup96,1000000,5,count,0,98099265,10469489,3960904,6204,13838876,1,96,0,2048,498b627
powersort_fj,dup96,1000000,6,count,0,99603105,10470984,3960416,6204,13839443,1,96,0,2048,498b627
powersort_fj,dup192,1000000,4,count,0,105230037,11472343,3981696,6204,13905531,1,96,0,2048,498b627
powersort_fj,dup192,1000000,5,count,0,74689163,11469580,3981624,6204,13906108,1,96,0,2048,498b627
powersort_fj,dup192,1000000,6,count,0,99755144,11467852,3981296,6204,13905574,1,96,0,2048,498b627
powersort_fj,dup384,1000000,4,count,0,78969981,12460431,3992144,6204,13938306,1,96,0,2048,498b627
powersort_fj,dup384,1000000,5,count,0,105040506,12465458,3991888,6204,13937921,1,96,0,2048,498b627
powersort_fj,dup384,1000000,6,count,0,80652480,12461321,3991688,6204,13938047,1,96,0,2048,498b627
powersort_fj,dup768,1000000,4,count,0,84587943,13437167,3997208,6204,13953670,1,96,0,2048,498b627
powersort_fj,dup768,1000000,5,count,0,110119870,13447442,3997072,6204,13953297,1,96,0,2048,498b627
powersort_fj,dup768,1000000,6,count,0,110377012,13451116,3997016,6204,13953336,1,96,0,2048,498b627
hybrid_fjauto2048,dup6,1000000,4,count,0,134998712,9376707,3336424,273272,7500505,1,96,0,2048,498b627
hybrid_fjauto2048,dup6,1000000,5,count,0,198824503,9377811,3334248,273272,7498085,1,96,0,2048,498b627
hybrid_fjauto2048,dup6,1000000,6,count,0,126589760,9376940,3336328,273272,7501188,1,96,0,2048,498b627
hybrid_fjauto2048,dup12,1000000,4,count,0,134883042,9592101,3665304,273272,8248815,1,96,0,2048,498b627
hybrid_fjauto2048,dup12,1000000,5,count,0,209549295,9592364,3667888,273272,8249105,1,96,0,2048,498b627
hybrid_fjauto2048,dup12,1000000,6,count,0,209910911,9591950,3669296,273272,8252909,1,96,0,2048,498b627
hybrid_fjauto2048,dup24,1000000,4,count,0,140145968,9829818,3834552,273272,8625240,1,96,0,2048,498b627
hybrid_fjauto2048,dup24,1000000,5,count,0,198824880,9830168,3835320,273272,8624790,1,96,0,2048,498b627
hybrid_fjauto2048,dup24,1000000,6,count,0,220127779,9830156,3835224,273272,8626297,1,96,0,2048,498b627
hybrid_fjauto2048,dup48,1000000,4,count,0,177714515,10155838,3918808,273272,8813208,1,96,0,2048,498b627
hybrid_fjauto2048,dup48,1000000,5,count,0,196018828,10156073,3919728,273272,8813629,1,96,0,2048,498b627
hybrid_fjauto2048,dup48,1000000,6,count,0,142254250,10155355,3919088,273272,8814211,1,96,0,2048,498b627
hybrid_fjauto2048,dup96,1000000,4,count,0,195458209,10645477,3960416,273272,8905991,1,96,0,2048,498b627
hybrid_fjauto2048,dup96,1000000,5,count,0,150884717,10645531,3960904,273272,8907072,1,96,0,2048,498b627
hybrid_fjauto2048,dup96,1000000,6,count,0,225738858,10644460,3960416,273272,8907411,1,96,0,2048,498b627
hybrid_fjauto2048,dup192,1000000,4,count,0,232830710,11378922,3981696,273272,8953346,1,96,0,2048,498b627
hybrid_fjauto2048,dup192,1000000,5,count,0,231650765,11378262,3981624,273272,8953760,1,96,0,2048,498b627
hybrid_fjauto2048,dup192,1000000,6,count,0,187798138,11378542,3981296,273272,8953570,1,96,0,2048,498b627
hybrid_fjauto2048,dup384,1000000,4,count,0,152406826,12390587,3992144,273272,8977067,1,96,0,2048,498b627
hybrid_fjauto2048,dup384,1000000,5,count,0,233587625,12389587,3991888,273272,8976807,1,96,0,2048,498b627
hybrid_fjauto2048,dup384,1000000,6,count,0,153893038,12388801,3991688,273272,8976716,1,96,0,2048,498b627
hybrid_fjauto2048,dup768,1000000,4,count,0,231941502,13375691,3997208,273272,8988472,1,96,0,2048,498b627
hybrid_fjauto2048,dup768,1000000,5,count,0,155708190,13376632,3997072,273272,8988310,1,96,0,2048,498b627
hybrid_fjauto2048,dup768,1000000,6,count,0,179982636,13373902,3997016,273272,8988363,1,96,0,2048,498b627
hybrid_gate,dup6,1000000,4,count,0,73068487,6216614,3336424,6204,11666757,1,96,0,2048,498b627
