algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,dup2,1000000,7,count,0,46374695,5033551,1999848,0,7003652,1,96,0,2048,97869f3
powersort,dup2,1000000,8,count,0,47210658,5033463,2002176,0,7001026,1,96,0,2048,97869f3
powersort,dup2,1000000,9,count,0,45353388,5033056,1998208,0,6999770,1,96,0,2048,97869f3
powersort,dup4,1000000,7,count,0,45462529,5686232,3001768,0,10502817,1,96,0,2048,97869f3
powersort,dup4,1000000,8,count,0,69225507,5683978,2998736,0,10493644,1,96,0,2048,97869f3
powersort,dup4,1000000,9,count,0,49621497,5684664,3000352,0,10498275,1,96,0,2048,97869f3
powersort,dup6,1000000,7,count,0,66634211,6255638,3333592,0,11667068,1,96,0,2048,97869f3
powersort,dup6,1000000,8,count,0,52253684,6255450,3334792,0,11672157,1,96,0,2048,97869f3
powersort,dup6,1000000,9,count,0,58615026,6255967,3334024,0,11665531,1,96,0,2048,97869f3
powersort,dup8,1000000,7,count,0,57239069,6666619,3502648,0,12256187,1,96,0,2048,97869f3
powersort,dup8,1000000,8,count,0,79574854,6667946,3500504,0,12247426,1,96,0,2048,97869f3
powersort,dup8,1000000,9,count,0,73095924,6666104,3500568,0,12249775,1,96,0,2048,97869f3
powersort,dup12,1000000,7,count,0,51648503,7384133,3668760,0,12833325,1,96,0,2048,97869f3
powersort,dup12,1000000,8,count,0,70801177,7384132,3668064,0,12835046,1,96,0,2048,97869f3
powersort,dup12,1000000,9,count,0,73481241,7385806,3667496,0,12831073,1,96,0,2048,97869f3
powersort,dup16,1000000,7,count,0,76525403,7840819,3752136,0,13126612,1,96,0,2048,97869f3
powersort,dup16,1000000,8,count,0,51741510,7838212,3750520,0,13120036,1,96,0,2048,97869f3
powersort,dup16,1000000,9,count,0,79594475,7838641,3753080,0,13125848,1,96,0,2048,97869f3
powersort,dup24,1000000,7,count,0,54737763,8457699,3835872,0,13414474,1,96,0,2048,97869f3
powersort,dup24,1000000,8,count,0,86296208,8454547,3835088,0,13415036,1,96,0,2048,97869f3
powersort,dup24,1000000,9,count,0,58422386,8452646,3834832,0,13411680,1,96,0,2048,97869f3
powersort,dup32,1000000,7,count,0,70046167,8897445,3877064,0,13557481,1,96,0,2048,97869f3
powersort,dup32,1000000,8,count,0,62010812,8896846,3875168,0,13551340,1,96,0,2048,97869f3
powersort,dup32,1000000,9,count,0,82176727,8901982,3878616,0,13559369,1,96,0,2048,97869f3
powersort,dup48,1000000,7,count,0,82887675,9477000,3918480,0,13698833,1,96,0,2048,97869f3
powersort,dup48,1000000,8,count,0,61029995,9480961,3919080,0,13700481,1,96,0,2048,97869f3
powersort,dup48,1000000,9,count,0,79357180,9480036,3918864,0,13699750,1,96,0,2048,97869f3
powersort,dup64,1000000,7,count,0,61783235,9924513,3939600,0,13769580,1,96,0,2048,97869f3
powersort,dup64,1000000,8,count,0,78773735,9926859,3938032,0,13765303,1,96,0,2048,97869f3
powersort,dup64,1000000,9,count,0,79945003,9928282,3940984,0,13771119,1,96,0,2048,97869f3
powersort,dup96,1000000,7,count,0,88461174,10491064,3960224,0,13838025,1,96,0,2048,97869f3
powersort,dup96,1000000,8,count,0,87770798,10485772,3960312,0,13837781,1,96,0,2048,97869f3
powersort,dup96,1000000,9,count,0,88577377,10486523,3961016,0,13838754,1,96,0,2048,97869f3
powersort,dup128,1000000,7,count,0,90780942,10938861,3970736,0,13872319,1,96,0,2048,97869f3
powersort,dup128,1000000,8,count,0,68585610,10940484,3970448,0,13869131,1,96,0,2048,97869f3
powersort,dup128,1000000,9,count,0,72732999,10942941,3971760,0,13873178,1,96,0,2048,97869f3
powersort,dup192,1000000,7,count,0,89529769,11484350,3981120,0,13905433,1,96,0,2048,97869f3
powersort,dup192,1000000,8,count,0,90203074,11491847,3980872,0,13904426,1,96,0,2048,97869f3
powersort,dup192,1000000,9,count,0,92776819,11485918,3981248,0,13905446,1,96,0,2048,97869f3
powersort,dup256,1000000,7,count,0,77139958,11946147,3986392,0,13921715,1,96,0,2048,97869f3
powersort,dup256,1000000,8,count,0,67130906,11945494,3986024,0,13919981,1,96,0,2048,97869f3
powersort,dup256,1000000,9,count,0,92850197,11939207,3987008,0,13923076,1,96,0,2048,97869f3
powersort,dup384,1000000,7,count,0,77315117,12484969,3991648,0,13937728,1,96,0,2048,97869f3
powersort,dup384,1000000,8,count,0,92112551,12481524,3991392,0,13936966,1,96,0,2048,97869f3
powersort,dup384,1000000,9,count,0,70142155,12484485,3991856,0,13937840,1,96,0,2048,97869f3
powersort,dup512,1000000,7,count,0,95602467,12934273,3994392,0,13945689,1,96,0,2048,97869f3
powersort,dup512,1000000,8,count,0,99899283,12939271,3993856,0,13944922,1,96,0,2048,97869f3
powersort,dup512,1000000,9,count,0,104789802,12934927,3994320,0,13946272,1,96,0,2048,97869f3
powersort,dup768,1000000,7,count,0,78838233,13463776,3996968,0,13953825,1,96,0,2048,97869f3
powersort,dup768,1000000,8,count,0,77800760,13461680,3996584,0,13953260,1,96,0,2048,97869f3
powersort,dup768,1000000,9,count,0,77465503,13470018,3997000,0,13953960,1,96,0,2048,97869f3
powersort,dup1024,1000000,7,count,0,111176185,13925744,3998256,0,13957264,1,96,0,2048,97869f3
powersort,dup1024,1000000,8,count,0,113880959,13919225,3998120,0,13956707,1,96,0,2048,97869f3
powersort,dup1024,1000000,9,count,0,82209501,13917345,3998216,0,13957602,1,96,0,2048,97869f3
powersort_fj,dup2,1000000,7,count,0,43256210,4978818,1999848,6204,7003652,1,96,0,2048,97869f3
powersort_fj,dup2,1000000,8,count,0,43232716,4978949,2002176,6204,7001026,1,96,0,2048,97869f3
powersort_fj,dup2,1000000,9,count,0,47725867,4978388,1998208,6204,6999770,1,96,0,2048,97869f3
powersort_fj,dup4,1000000,7,count,0,77417535,5644252,3001768,6204,10502817,1,96,0,2048,97869f3
powersort_fj,dup4,1000000,8,count,0,62831334,5642206,2998736,6204,10493644,1,96,0,2048,97869f3
powersort_fj,dup4,1000000,9,count,0,53802430,5643326,3000352,6204,10498275,1,96,0,2048,97869f3
powersort_fj,dup6,1000000,7,count,0,77782602,6217549,3333592,6204,11667068,1,96,0,2048,97869f3
powersort_fj,dup6,1000000,8,count,0,76328959,6217003,3334792,6204,11672157,1,96,0,2048,97869f3
powersort_fj,dup6,1000000,9,count,0,50585954,6217725,3334024,6204,11665531,1,96,0,2048,97869f3
powersort_fj,dup8,1000000,7,count,0,54039401,6633497,3502648,6204,12256187,1,96,0,2048,97869f3
powersort_fj,dup8,1000000,8,count,0,69610918,6635139,3500504,6204,12247426,1,96,0,2048,97869f3
powersort_fj,dup8,1000000,9,count,0,56981519,6633154,3500568,6204,12249775,1,96,0,2048,97869f3
powersort_fj,dup12,1000000,7,count,0,94694422,7355336,3668760,6204,12833325,1,96,0,2048,97869f3
powersort_fj,dup12,1000000,8,count,0,60298371,7354084,3668064,6204,12835046,1,96,0,2048,97869f3
powersort_fj,dup12,1000000,9,count,0,85945855,7356747,3667496,6204,12831073,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,7,count,0,95039176,7812874,3752136,6204,13126612,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,8,count,0,91894197,7811623,3750520,6204,13120036,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,9,count,0,63102583,7811209,3753080,6204,13125848,1,96,0,2048,97869f3
powersort_fj,dup24,1000000,7,count,0,91515654,8433502,3835872,6204,13414474,1,96,0,2048,97869f3
powersort_fj,dup24,1000000,8,count,0,91832379,8429809,3835088,6204,13415036,1,96,0,2048,97869f3
powersort_fj,dup24,1000000,9,count,0,85462314,8427490,3834832,6204,13411680,1,96,0,2048,97869f3
powersort_fj,dup32,1000000,7,count,0,88024311,8873536,3877064,6204,13557481,1,96,0,2048,97869f3
powersort_fj,dup32,1000000,8,count,0,92681254,8872900,3875168,6204,13551340,1,96,0,2048,97869f3
powersort_fj,dup32,1000000,9,count,0,88408615,8877853,3878616,6204,13559369,1,96,0,2048,97869f3
powersort_fj,dup48,1000000,7,count,0,68250167,9455060,3918480,6204,13698833,1,96,0,2048,97869f3
powersort_fj,dup48,1000000,8,count,0,70609755,9457846,3919080,6204,13700481,1,96,0,2048,97869f3
powersort_fj,dup48,1000000,9,count,0,99002555,9457476,3918864,6204,13699750,1,96,0,2048,97869f3
powersort_fj,dup64,1000000,7,count,0,69474805,9903180,3939600,6204,13769580,1,96,0,2048,97869f3
powersort_fj,dup64,1000000,8,count,0,80352420,9905216,3938032,6204,13765303,1,96,0,2048,97869f3
powersort_fj,dup64,1000000,9,count,0,97770103,9905927,3940984,6204,13771119,1,96,0,2048,97869f3
powersort_fj,dup96,1000000,7,count,0,97138582,10470456,3960224,6204,13838025,1,96,0,2048,97869f3
powersort_fj,dup96,1000000,8,count,0,84766030,10464779,3960312,6204,13837781,1,96,0,2048,97869f3
powersort_fj,dup96,1000000,9,count,0,88248376,10465646,3961016,6204,13838754,1,96,0,2048,97869f3
powersort_fj,dup128,1000000,7,count,0,80701962,10918923,3970736,6204,13872319,1,96,0,2048,97869f3
powersort_fj,dup128,1000000,8,count,0,112132528,10920014,3970448,6204,13869131,1,96,0,2048,97869f3
powersort_fj,dup128,1000000,9,count,0,111310183,10922320,3971760,6204,13873178,1,96,0,2048,97869f3
powersort_fj,dup192,1000000,7,count,0,121512814,11464591,3981120,6204,13905433,1,96,0,2048,97869f3
powersort_fj,dup192,1000000,8,count,0,108685539,11472093,3980872,6204,13904426,1,96,0,2048,97869f3
powersort_fj,dup192,1000000,9,count,0,122709627,11465874,3981248,6204,13905446,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,7,count,0,119940791,11926044,3986392,6204,13921715,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,8,count,0,88574263,11924437,3986024,6204,13919981,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,9,count,0,94025341,11918951,3987008,6204,13923076,1,96,0,2048,97869f3
powersort_fj,dup384,1000000,7,count,0,114765682,12464995,3991648,6204,13937728,1,96,0,2048,97869f3
powersort_fj,dup384,1000000,8,count,0,110781928,12461970,3991392,6204,13936966,1,96,0,2048,97869f3
powersort_fj,dup384,1000000,9,count,0,106610781,12464681,3991856,6204,13937840,1,96,0,2048,97869f3
powersort_fj,dup512,1000000,7,count,0,110029851,12914813,3994392,6204,13945689,1,96,0,2048,97869f3
powersort_fj,dup512,1000000,8,count,0,119443114,12919594,3993856,6204,13944922,1,96,0,2048,97869f3
powersort_fj,dup512,1000000,9,count,0,84868149,12915259,3994320,6204,13946272,1,96,0,2048,97869f3
powersort_fj,dup768,1000000,7,count,0,105586553,13444114,3996968,6204,13953825,1,96,0,2048,97869f3
powersort_fj,dup768,1000000,8,count,0,108759889,13442497,3996584,6204,13953260,1,96,0,2048,97869f3
powersort_fj,dup768,1000000,9,count,0,91811595,13450670,3997000,6204,13953960,1,96,0,2048,97869f3
