algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,1000000,1,count,0,101269090,18599266,4002288,0,13967750,1,96,0,2048,97869f3
powersort,random,1000000,2,count,0,122731485,18598521,4002288,0,13968067,1,96,0,2048,97869f3
powersort,random,1000000,3,count,0,136177376,18599329,4002280,0,13967814,1,96,0,2048,97869f3
powersort,dup16,1000000,1,count,0,53768838,7839039,3751624,0,13125196,1,96,0,2048,97869f3
powersort,dup16,1000000,2,count,0,65223507,7838175,3749176,0,13125581,1,96,0,2048,97869f3
powersort,dup16,1000000,3,count,0,68674192,7838899,3749768,0,13119176,1,96,0,2048,97869f3
powersort,dup256,1000000,1,count,0,72171222,11938097,3986520,0,13921014,1,96,0,2048,97869f3
powersort,dup256,1000000,2,count,0,72845872,11943190,3986360,0,13922045,1,96,0,2048,97869f3
powersort,dup256,1000000,3,count,0,97532982,11943485,3986568,0,13921056,1,96,0,2048,97869f3
powersort,runs32,1000000,1,count,0,117133471,18020256,4002288,0,13967280,1,96,0,2048,97869f3
powersort,runs32,1000000,2,count,0,116508772,18019647,4002288,0,13967297,1,96,0,2048,97869f3
powersort,runs32,1000000,3,count,0,87333275,18019363,4002280,0,13967442,1,96,0,2048,97869f3
powersort,runs1024,1000000,1,count,0,81540541,10950127,3999984,0,9949852,1,96,0,2048,97869f3
powersort,runs1024,1000000,2,count,0,77952233,10950146,4000000,0,9949901,1,96,0,2048,97869f3
powersort,runs1024,1000000,3,count,0,94501715,10950138,4000000,0,9949955,1,96,0,2048,97869f3
powersort,nearly1,1000000,1,count,0,26726824,3131752,4002072,0,12540492,1,96,0,2048,97869f3
powersort,nearly1,1000000,2,count,0,26797817,3138751,4001616,0,12586067,1,96,0,2048,97869f3
powersort,nearly1,1000000,3,count,0,21785225,3135244,3999472,0,12595879,1,96,0,2048,97869f3
powersort,tail10,1000000,1,count,0,28520050,3435704,721544,0,2073456,1,96,0,2048,97869f3
powersort,tail10,1000000,2,count,0,26849150,3426400,721344,0,2073382,1,96,0,2048,97869f3
powersort,tail10,1000000,3,count,0,23381040,3433367,730864,0,2074602,1,96,0,2048,97869f3
powersort,saw13,1000000,1,count,0,44130176,7508402,3694608,0,12923071,1,96,0,2048,97869f3
powersort,saw13,1000000,2,count,0,43520273,7508402,3694608,0,12923071,1,96,0,2048,97869f3
powersort,saw13,1000000,3,count,0,32253412,7508402,3694608,0,12923071,1,96,0,2048,97869f3
powersort,organpipe,1000000,1,count,0,18757495,1999998,4002296,0,999999,1,96,0,2048,97869f3
powersort,organpipe,1000000,2,count,0,13685435,1999998,4002296,0,999999,1,96,0,2048,97869f3
powersort,organpipe,1000000,3,count,0,12570930,1999998,4002296,0,999999,1,96,0,2048,97869f3
powersort,disp256,1000000,1,count,0,70360100,9367250,8776,0,5068499,1,96,0,2048,97869f3
powersort,disp256,1000000,2,count,0,54502477,9374316,9144,0,5075065,1,96,0,2048,97869f3
powersort,disp256,1000000,3,count,0,68396411,9369089,9488,0,5075769,1,96,0,2048,97869f3
powersort_fj,random,1000000,1,count,0,147528148,18580189,4002288,6204,13967750,1,96,0,2048,97869f3
powersort_fj,random,1000000,2,count,0,126864570,18580080,4002288,6204,13968067,1,96,0,2048,97869f3
powersort_fj,random,1000000,3,count,0,116682373,18579784,4002280,6204,13967814,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,1,count,0,63180603,7812320,3751624,6204,13125196,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,2,count,0,85213167,7811884,3749176,6204,13125581,1,96,0,2048,97869f3
powersort_fj,dup16,1000000,3,count,0,63594042,7811523,3749768,6204,13119176,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,1,count,0,108746777,11918160,3986520,6204,13921014,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,2,count,0,104985732,11923034,3986360,6204,13922045,1,96,0,2048,97869f3
powersort_fj,dup256,1000000,3,count,0,79269860,11923186,3986568,6204,13921056,1,96,0,2048,97869f3
powersort_fj,runs32,1000000,1,count,0,122573075,18004996,4002288,6204,13967280,1,96,0,2048,97869f3
powersort_fj,runs32,1000000,2,count,0,120022191,18004404,4002288,6204,13967297,1,96,0,2048,97869f3
powersort_fj,runs32,1000000,3,count,0,109309331,18003992,4002280,6204,13967442,1,96,0,2048,97869f3
powersort_fj,runs1024,1000000,1,count,0,69022740,10950127,3999984,0,9949852,1,96,0,2048,97869f3
powersort_fj,runs1024,1000000,2,count,0,81391904,10950146,4000000,0,9949901,1,96,0,2048,97869f3
powersort_fj,runs1024,1000000,3,count,0,83916958,10950138,4000000,0,9949955,1,96,0,2048,97869f3
