n, fj_avg, fj_max, bin_avg, fj_gap_vs_lb, F(n), lg_nfact
 1,    0.000,   0,    0.000,  0.000,   0,    0.000
 2,    1.000,   1,    1.000,  0.000,   1,    1.000
 3,    2.664,   3,    2.664,  0.079,   3,    2.585
 4,    4.673,   5,    4.670,  0.088,   5,    4.585
 5,    6.935,   7,    7.061,  0.028,   7,    6.907
 6,    9.601,  10,    9.738,  0.109,  10,    9.492
 7,   12.459,  13,   12.596,  0.160,  13,   12.299
 8,   15.462,  16,   15.602,  0.162,  16,   15.299
 9,   18.583,  19,   18.808,  0.114,  19,   18.469
10,   21.850,  22,   22.205,  0.059,  22,   21.791
11,   25.400,  26,   25.744,  0.149,  26,   25.250
12,   29.060,  30,   29.430,  0.225,  30,   28.835
13,   32.837,  34,   33.193,  0.301,  34,   32.536
14,   36.704,  38,   37.036,  0.361,  38,   36.343
15,   40.668,  42,   40.988,  0.418,  42,   40.250
16,   44.654,  46,   44.975,  0.404,  46,   44.250
17,   48.769,  50,   49.122,  0.432,  50,   48.338
18,   52.885,  54,   53.307,  0.377,  54,   52.508
19,   57.098,  58,   57.626,  0.342,  58,   56.755
20,   61.374,  62,   62.036,  0.296,  62,   61.077
21,   65.633,  66,   66.501,  0.164,  66,   65.470
22,   70.182,  71,   71.073,  0.253,  71,   69.929
23,   74.789,  76,   75.667,  0.336,   -,   74.453
24,   79.460,  81,   80.345,  0.423,   -,   79.038
25,   84.185,  86,   85.034,  0.503,   -,   83.682
26,   88.959,  91,   89.830,  0.577,   -,   88.382
27,   93.771,  96,   94.627,  0.634,   -,   93.137
28,   98.634, 101,   99.494,  0.690,   -,   97.944
29,  103.545, 106,  104.365,  0.743,   -,  102.802
30,  108.509, 111,  109.326,  0.800,   -,  107.709
31,  113.521, 116,  114.296,  0.858,   -,  112.663
32,  118.513, 121,  119.320,  0.850,   -,  117.663
33,  123.554, 126,  124.339,  0.847,   -,  122.708
34,  128.638, 131,  129.474,  0.843,   -,  127.795
35,  133.762, 136,  134.651,  0.838,   -,  132.924
36,  138.892, 141,  139.877,  0.797,   -,  138.094
37,  144.062, 146,  145.144,  0.759,   -,  143.304
38,  149.281, 151,  150.442,  0.729,   -,  148.552
39,  154.498, 156,  155.798,  0.661,   -,  153.837
40,  159.782, 161,  161.194,  0.623,   -,  159.159
41,  165.003, 166,  166.645,  0.486,   -,  164.517
42,  170.274, 171,  172.098,  0.365,   -,  169.909
43,  175.781, 177,  177.664,  0.446,   -,  175.335
44,  181.333, 183,  183.186,  0.538,   -,  180.795
45,  186.908, 189,  188.759,  0.622,   -,  186.286
46,  192.519, 195,  194.391,  0.709,   -,  191.810
47,  198.147, 201,  200.004,  0.782,   -,  197.365
48,  203.832, 207,  205.702,  0.882,   -,  202.950
49,  209.519, 213,  211.349,  0.955,   -,  208.564
50,  215.254, 219,  217.073,  1.046,   -,  214.208
51,  221.009, 225,  222.860,  1.129,   -,  219.881
52,  226.785, 231,  228.608,  1.204,   -,  225.581
53,  232.583, 237,  234.375,  1.274,   -,  231.309
54,  238.401, 243,  240.219,  1.338,   -,  237.064
55,  244.248, 249,  246.069,  1.403,   -,  242.845
56,  250.134, 255,  251.921,  1.481,   -,  248.653
57,  255.984, 261,  257.775,  1.499,   -,  254.485
58,  261.927, 267,  263.731,  1.584,   -,  260.343
59,  267.854, 273,  269.630,  1.628,   -,  266.226
60,  273.807, 279,  275.518,  1.674,   -,  272.133
61,  279.762, 285,  281.467,  1.699,   -,  278.064
62,  285.772, 291,  287.396,  1.754,   -,  284.018
63,  291.761, 297,  293.428,  1.765,   -,  289.995
64,  297.792, 303,  299.426,  1.797,   -,  295.995
65,  303.839, 309,  305.422,  1.822,   -,  302.018
66,  309.905, 315,  311.487,  1.843,   -,  308.062
67,  315.930, 321,  317.593,  1.802,   -,  314.128
68,  322.024, 327,  323.709,  1.808,   -,  320.215
69,  328.143, 333,  329.894,  1.819,   -,  326.324
70,  334.264, 339,  336.090,  1.810,   -,  332.453
71,  340.399, 345,  342.218,  1.796,   -,  338.603
72,  346.511, 351,  348.560,  1.738,   -,  344.773
73,  352.674, 357,  354.706,  1.711,   -,  350.963
74,  358.870, 363,  361.037,  1.698,   -,  357.172
75,  365.090, 369,  367.229,  1.689,   -,  363.401
76,  371.258, 375,  373.600,  1.609,   -,  369.649
77,  377.398, 381,  379.906,  1.482,   -,  375.916
78,  383.695, 387,  386.249,  1.493,   -,  382.201
79,  389.914, 393,  392.666,  1.409,   -,  388.505
80,  396.161, 399,  399.085,  1.334,   -,  394.827
81,  402.439, 405,  405.465,  1.272,   -,  401.167
82,  408.688, 411,  411.925,  1.164,   -,  407.524
83,  414.979, 417,  418.349,  1.079,   -,  413.899
84,  421.243, 423,  424.894,  0.951,   -,  420.292
85,  427.472, 429,  431.382,  0.771,   -,  426.701
86,  433.995, 436,  437.852,  0.868,   -,  433.127
87,  440.515, 443,  444.400,  0.945,   -,  439.570
88,  447.076, 450,  450.960,  1.047,   -,  446.030
89,  453.644, 457,  457.449,  1.138,   -,  452.505
90,  460.213, 464,  464.054,  1.216,   -,  458.997
91,  466.788, 471,  470.608,  1.283,   -,  465.505
92,  473.418, 478,  477.235,  1.389,   -,  472.029
93,  480.050, 485,  483.905,  1.482,   -,  478.568
94,  486.639, 492,  490.506,  1.517,   -,  485.122
95,  493.399, 499,  497.240,  1.707,   -,  491.692
96,  500.024, 506,  503.798,  1.747,   -,  498.277
97,  506.748, 513,  510.635,  1.871,   -,  504.877
98,  513.379, 520,  517.262,  1.887,   -,  511.492
99,  520.128, 527,  523.984,  2.007,   -,  518.121
100,  526.839, 533,  530.618,  2.074,   -,  524.765
101,  533.551, 541,  537.456,  2.128,   -,  531.423
102,  540.308, 548,  544.129,  2.212,   -,  538.096
103,  547.064, 554,  550.915,  2.282,   -,  544.782
104,  553.894, 562,  557.694,  2.412,   -,  551.483
105,  560.576, 569,  564.435,  2.379,   -,  558.197
106,  567.445, 575,  571.299,  2.520,   -,  564.925
107,  574.274, 582,  578.030,  2.608,   -,  571.666
108,  581.048, 590,  584.857,  2.627,   -,  578.421
109,  587.975, 597,  591.753,  2.785,   -,  585.189
110,  594.759, 603,  598.582,  2.788,   -,  591.971
111,  601.625, 610,  605.254,  2.860,   -,  598.765
112,  608.482, 618,  612.239,  2.910,   -,  605.572
113,  615.351, 624,  619.115,  2.958,   -,  612.393
114,  622.252, 632,  625.984,  3.026,   -,  619.225
115,  629.167, 638,  632.781,  3.096,   -,  626.071
116,  636.074, 645,  639.736,  3.145,   -,  632.929
117,  642.990, 652,  646.612,  3.190,   -,  639.799
118,  649.944, 659,  653.503,  3.263,   -,  646.682
119,  656.783, 666,  660.486,  3.206,   -,  653.577
120,  663.840, 673,  667.385,  3.357,   -,  660.484
121,  670.800, 680,  674.376,  3.398,   -,  667.403
122,  677.735, 686,  681.284,  3.401,   -,  674.333
123,  684.757, 694,  688.289,  3.481,   -,  681.276
124,  691.731, 700,  695.288,  3.501,   -,  688.230
125,  698.729, 709,  702.194,  3.533,   -,  695.196
126,  705.679, 715,  709.209,  3.506,   -,  702.173
127,  712.729, 723,  716.248,  3.567,   -,  709.162
128,  719.738, 729,  723.188,  3.576,   -,  716.162
