algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,1000000,1,count,0,128814805,18599266,4002288,0,13967750,1,96,0,2048,e67f8ae
powersort,random,1000000,2,count,0,95277809,18598521,4002288,0,13968067,1,96,0,2048,e67f8ae
powersort,random,1000000,3,count,0,93975460,18599329,4002280,0,13967814,1,96,0,2048,e67f8ae
powersort,dup16,1000000,1,count,0,45781889,7839039,3751624,0,13125196,1,96,0,2048,e67f8ae
powersort,dup16,1000000,2,count,0,62550862,7838175,3749176,0,13125581,1,96,0,2048,e67f8ae
powersort,dup16,1000000,3,count,0,70497588,7838899,3749768,0,13119176,1,96,0,2048,e67f8ae
powersort,dup256,1000000,1,count,0,88989819,11938097,3986520,0,13921014,1,96,0,2048,e67f8ae
powersort,dup256,1000000,2,count,0,64008946,11943190,3986360,0,13922045,1,96,0,2048,e67f8ae
powersort,dup256,1000000,3,count,0,76167749,11943485,3986568,0,13921056,1,96,0,2048,e67f8ae
powersort,runs32,1000000,1,count,0,79241985,18020256,4002288,0,13967280,1,96,0,2048,e67f8ae
powersort,runs32,1000000,2,count,0,110969432,18019647,4002288,0,13967297,1,96,0,2048,e67f8ae
powersort,runs32,1000000,3,count,0,80190690,18019363,4002280,0,13967442,1,96,0,2048,e67f8ae
powersort,runs1024,1000000,1,count,0,72586269,10950127,3999984,0,9949852,1,96,0,2048,e67f8ae
powersort,runs1024,1000000,2,count,0,59956829,10950146,4000000,0,9949901,1,96,0,2048,e67f8ae
powersort,runs1024,1000000,3,count,0,64238157,10950138,4000000,0,9949955,1,96,0,2048,e67f8ae
powersort,nearly1,1000000,1,count,0,24158762,3131752,4002072,0,12540492,1,96,0,2048,e67f8ae
powersort,nearly1,1000000,2,count,0,22275548,3138751,4001616,0,12586067,1,96,0,2048,e67f8ae
powersort,nearly1,1000000,3,count,0,23611654,3135244,3999472,0,12595879,1,96,0,2048,e67f8ae
powersort,tail10,1000000,1,count,0,20476613,3435704,721544,0,2073456,1,96,0,2048,e67f8ae
powersort,tail10,1000000,2,count,0,22949643,3426400,721344,0,2073382,1,96,0,2048,e67f8ae
powersort,tail10,1000000,3,count,0,16995810,3433367,730864,0,2074602,1,96,0,2048,e67f8ae
powersort,saw13,1000000,1,count,0,36744236,7508402,3694608,0,12923071,1,96,0,2048,e67f8ae
powersort,saw13,1000000,2,count,0,36564369,7508402,3694608,0,12923071,1,96,0,2048,e67f8ae
powersort,saw13,1000000,3,count,0,35364109,7508402,3694608,0,12923071,1,96,0,2048,e67f8ae
powersort,organpipe,1000000,1,count,0,6702816,1999998,4002296,0,999999,1,96,0,2048,e67f8ae
powersort,organpipe,1000000,2,count,0,9203711,1999998,4002296,0,999999,1,96,0,2048,e67f8ae
powersort,organpipe,1000000,3,count,0,9404578,1999998,4002296,0,999999,1,96,0,2048,e67f8ae
powersort,disp256,1000000,1,count,0,49185166,9367250,8776,0,5068499,1,96,0,2048,e67f8ae
powersort,disp256,1000000,2,count,0,65586310,9374316,9144,0,5075065,1,96,0,2048,e67f8ae
powersort,disp256,1000000,3,count,0,64268257,9369089,9488,0,5075769,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,count,0,100595695,18580189,4002288,6204,13967750,1,96,0,2048,e67f8ae
