algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,1000000,1,time,0,73347938,0,0,0,0,1,96,0,2048,e67f8ae
powersort,random,1000000,1,time,1,71573288,0,0,0,0,1,96,0,2048,e67f8ae
powersort,random,1000000,1,time,2,71795332,0,0,0,0,1,96,0,2048,e67f8ae
powersort,random,1000000,1,time,3,71921162,0,0,0,0,1,96,0,2048,e67f8ae
powersort,random,1000000,1,time,4,71579565,0,0,0,0,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,time,0,79075132,0,0,6204,0,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,time,1,77268935,0,0,6204,0,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,time,2,77162360,0,0,6204,0,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,time,3,77175255,0,0,6204,0,1,96,0,2048,e67f8ae
powersort_fj,random,1000000,1,time,4,76968486,0,0,6204,0,1,96,0,2048,e67f8ae
hybrid_fjauto2048,random,1000000,1,time,0,131049873,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_fjauto2048,random,1000000,1,time,1,130575924,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_fjauto2048,random,1000000,1,time,2,129834375,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_fjauto2048,random,1000000,1,time,3,130651289,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_fjauto2048,random,1000000,1,time,4,130142655,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_gate,random,1000000,1,time,0,133654716,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_gate,random,1000000,1,time,1,132844152,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_gate,random,1000000,1,time,2,131490530,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_gate,random,1000000,1,time,3,131182238,0,0,273272,0,1,96,0,2048,e67f8ae
hybrid_gate,random,1000000,1,time,4,131413588,0,0,273272,0,1,96,0,2048,e67f8ae
