algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,10000,1,count,0,730252,119669,42304,0,79430,1,96,0,2048,d310ed5
powersort,random,10000,2,count,0,561617,119736,42296,0,79465,1,96,0,2048,d310ed5
powersort,random,10000,3,count,0,724926,119719,42288,0,79531,1,96,0,2048,d310ed5
powersort,random,100000,1,count,0,7376323,1528957,402296,0,1095881,1,96,0,2048,d310ed5
powersort,random,100000,2,count,0,7514241,1528915,402288,0,1096005,1,96,0,2048,d310ed5
powersort,random,100000,3,count,0,7871400,1528956,402296,0,1096091,1,96,0,2048,d310ed5
powersort,random,1000000,1,count,0,160464762,18599266,4002288,0,13967750,1,96,0,2048,d310ed5
powersort,random,1000000,2,count,0,113031660,18598521,4002288,0,13968067,1,96,0,2048,d310ed5
powersort,random,1000000,3,count,0,152003965,18599329,4002280,0,13967814,1,96,0,2048,d310ed5
powersort,dup16,10000,1,count,0,473786,78066,39720,0,74962,1,96,0,2048,d310ed5
powersort,dup16,10000,2,count,0,409570,77897,39816,0,74797,1,96,0,2048,d310ed5
powersort,dup16,10000,3,count,0,499461,77978,39856,0,75025,1,96,0,2048,d310ed5
powersort,dup16,100000,1,count,0,5698544,783730,377008,0,1031217,1,96,0,2048,d310ed5
powersort,dup16,100000,2,count,0,6068407,783962,377584,0,1030941,1,96,0,2048,d310ed5
powersort,dup16,100000,3,count,0,6201006,784002,377480,0,1031511,1,96,0,2048,d310ed5
powersort,dup16,1000000,1,count,0,67414502,7839039,3751624,0,13125196,1,96,0,2048,d310ed5
powersort,dup16,1000000,2,count,0,59142811,7838175,3749176,0,13125581,1,96,0,2048,d310ed5
powersort,dup16,1000000,3,count,0,55207140,7838899,3749768,0,13119176,1,96,0,2048,d310ed5
powersort,runs32,10000,1,count,0,540223,110645,42304,0,79401,1,96,0,2048,d310ed5
powersort,runs32,10000,2,count,0,525969,110740,42296,0,79442,1,96,0,2048,d310ed5
powersort,runs32,10000,3,count,0,427908,110694,42288,0,79486,1,96,0,2048,d310ed5
powersort,runs32,100000,1,count,0,7907822,1456450,402296,0,1095630,1,96,0,2048,d310ed5
powersort,runs32,100000,2,count,0,6671252,1456326,402288,0,1095565,1,96,0,2048,d310ed5
powersort,runs32,100000,3,count,0,6073307,1456247,402296,0,1095671,1,96,0,2048,d310ed5
powersort,runs32,1000000,1,count,0,149149450,18020256,4002288,0,13967280,1,96,0,2048,d310ed5
powersort,runs32,1000000,2,count,0,123596791,18019647,4002288,0,13967297,1,96,0,2048,d310ed5
powersort,runs32,1000000,3,count,0,113258175,18019363,4002280,0,13967442,1,96,0,2048,d310ed5
powersort,runs1024,10000,1,count,0,128088,44081,41344,0,34082,1,96,0,2048,d310ed5
powersort,runs1024,10000,2,count,0,172798,44081,41336,0,34079,1,96,0,2048,d310ed5
powersort,runs1024,10000,3,count,0,138618,44076,41336,0,34077,1,96,0,2048,d310ed5
powersort,runs1024,100000,1,count,0,4385874,769103,400896,0,669034,1,96,0,2048,d310ed5
powersort,runs1024,100000,2,count,0,4371540,769092,400888,0,669104,1,96,0,2048,d310ed5
powersort,runs1024,100000,3,count,0,4041211,769083,400888,0,669078,1,96,0,2048,d310ed5
powersort,runs1024,1000000,1,count,0,72775292,10950127,3999984,0,9949852,1,96,0,2048,d310ed5
powersort,runs1024,1000000,2,count,0,101024756,10950146,4000000,0,9949901,1,96,0,2048,d310ed5
powersort,runs1024,1000000,3,count,0,98228751,10950138,4000000,0,9949955,1,96,0,2048,d310ed5
powersort,nearly1,10000,1,count,0,99304,22129,41480,0,60731,1,96,0,2048,d310ed5
powersort,nearly1,10000,2,count,0,123114,24125,41368,0,58065,1,96,0,2048,d310ed5
powersort,nearly1,10000,3,count,0,93990,23028,40760,0,60328,1,96,0,2048,d310ed5
powersort,nearly1,100000,1,count,0,1972928,265706,401296,0,931652,1,96,0,2048,d310ed5
powersort,nearly1,100000,2,count,0,2317230,269009,401168,0,933806,1,96,0,2048,d310ed5
powersort,nearly1,100000,3,count,0,3375541,270471,402232,0,919519,1,96,0,2048,d310ed5
powersort,nearly1,1000000,1,count,0,47167915,3131752,4002072,0,12540492,1,96,0,2048,d310ed5
powersort,nearly1,1000000,2,count,0,56346325,3138751,4001616,0,12586067,1,96,0,2048,d310ed5
powersort,nearly1,1000000,3,count,0,48925400,3135244,3999472,0,12595879,1,96,0,2048,d310ed5
powersort,tail10,10000,1,count,0,100028,26825,9432,0,14691,1,96,0,2048,d310ed5
powersort,tail10,10000,2,count,0,110108,25309,9568,0,14628,1,96,0,2048,d310ed5
powersort,tail10,10000,3,count,0,90068,25846,9536,0,14687,1,96,0,2048,d310ed5
powersort,tail10,100000,1,count,0,1333316,306311,74392,0,177265,1,96,0,2048,d310ed5
powersort,tail10,100000,2,count,0,1477083,304219,78920,0,177753,1,96,0,2048,d310ed5
powersort,tail10,100000,3,count,0,1795791,306390,73808,0,177164,1,96,0,2048,d310ed5
powersort,tail10,1000000,1,count,0,33332177,3435704,721544,0,2073456,1,96,0,2048,d310ed5
