algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,1000000,1,count,0,216748953,18599266,4002288,0,13967750,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,count,0,177936016,18598521,4002288,0,13968067,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,count,0,209920543,18599329,4002280,0,13967814,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,4,count,0,171901572,18599663,4002304,0,13967323,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,5,count,0,214456602,18598796,4002272,0,13967761,1,96,0,2048,7c7cd7e87ea8
powersort_fj,random,1000000,1,count,0,225446298,18580189,4002288,6204,13967750,1,96,0,2048,7c7cd7e87ea8
powersort_fj,random,1000000,2,count,0,232770497,18580080,4002288,6204,13968067,1,96,0,2048,7c7cd7e87ea8
powersort_fj,random,1000000,3,count,0,197212379,18579784,4002280,6204,13967814,1,96,0,2048,7c7cd7e87ea8
powersort_fj,random,1000000,4,count,0,233189554,18579740,4002304,6204,13967323,1,96,0,2048,7c7cd7e87ea8
powersort_fj,random,1000000,5,count,0,195001297,18578692,4002272,6204,13967761,1,96,0,2048,7c7cd7e87ea8
hybrid_fjauto2048,random,1000000,1,count,0,314670434,18520411,4002288,273272,8998891,1,96,0,2048,7c7cd7e87ea8
hybrid_fjauto2048,random,1000000,2,count,0,241751510,18520489,4002288,273272,8998974,1,96,0,2048,7c7cd7e87ea8
hybrid_fjauto2048,random,1000000,3,count,0,209171544,18520467,4002280,273272,8998925,1,96,0,2048,7c7cd7e87ea8
hybrid_fjauto2048,random,1000000,4,count,0,206494816,18520338,4002304,273272,8998960,1,96,0,2048,7c7cd7e87ea8
hybrid_fjauto2048,random,1000000,5,count,0,208009397,18520605,4002272,273272,8998934,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,0,94928371,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,1,93806987,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,2,92402800,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,3,93464461,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,4,92877585,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,5,92964077,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,6,94079516,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,7,93474916,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,8,92422162,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,9,93394504,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,10,93062882,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,11,92385436,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,12,92270751,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,13,93392314,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,1,time,14,94363524,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,0,114304893,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,1,113824305,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,2,112445377,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,3,113887646,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,4,112963743,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,5,112881302,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,6,113244731,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,7,113463047,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,8,113485197,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,9,115033814,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,10,113518938,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,11,117991554,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,12,113379035,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,13,115391061,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,2,time,14,114573776,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,0,94697124,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,1,94569762,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,2,94407213,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,3,93962520,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,4,97462229,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,5,124533615,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
powersort,random,1000000,3,time,6,103404252,0,0,0,0,1,96,0,2048,7c7cd7e87ea8
