algo,dist,n,seed,mode,rep,time_ns,comparisons,heap_aux_bytes,fj_stack_bound_bytes,merge_span_elems,ok,small_merge,fj_run_thresh,fj_max,build_id
powersort,random,10000,1,count,0,692500,119669,42304,0,79430,1,96,0,2048,de3837c
powersort,random,10000,2,count,0,547047,119736,42296,0,79465,1,96,0,2048,de3837c
powersort,random,10000,3,count,0,728931,119719,42288,0,79531,1,96,0,2048,de3837c
powersort,random,100000,1,count,0,7864636,1528957,402296,0,1095881,1,96,0,2048,de3837c
powersort,random,100000,2,count,0,7043936,1528915,402288,0,1096005,1,96,0,2048,de3837c
powersort,random,100000,3,count,0,9589379,1528956,402296,0,1096091,1,96,0,2048,de3837c
powersort,random,1000000,1,count,0,115364047,18599266,4002288,0,13967750,1,96,0,2048,de3837c
powersort,random,1000000,2,count,0,109505582,18598521,4002288,0,13968067,1,96,0,2048,de3837c
powersort,random,1000000,3,count,0,152788906,18599329,4002280,0,13967814,1,96,0,2048,de3837c
powersort,dup16,10000,1,count,0,425514,78066,39720,0,74962,1,96,0,2048,de3837c
powersort,dup16,10000,2,count,0,475761,77897,39816,0,74797,1,96,0,2048,de3837c
powersort,dup16,10000,3,count,0,399989,77978,39856,0,75025,1,96,0,2048,de3837c
powersort,dup16,100000,1,count,0,5875323,783730,377008,0,1031217,1,96,0,2048,de3837c
powersort,dup16,100000,2,count,0,4702124,783962,377584,0,1030941,1,96,0,2048,de3837c
powersort,dup16,100000,3,count,0,4236787,784002,377480,0,1031511,1,96,0,2048,de3837c
powersort,dup16,1000000,1,count,0,69108294,7839039,3751624,0,13125196,1,96,0,2048,de3837c
powersort,dup16,1000000,2,count,0,61912043,7838175,3749176,0,13125581,1,96,0,2048,de3837c
powersort,dup16,1000000,3,count,0,50951808,7838899,3749768,0,13119176,1,96,0,2048,de3837c
powersort,runs32,10000,1,count,0,453961,110645,42304,0,79401,1,96,0,2048,de3837c
powersort,runs32,10000,2,count,0,466126,110740,42296,0,79442,1,96,0,2048,de3837c
